This is the file with the neighbour_list:
____________________________________________
Number of atoms: 108
Cutoff distance: 2.7
____________________________________________
Neighbour List of atom: 0

Position of atom 0: -2.519394287073761, -2.519394287073761, -2.519394287073761
Number of neighbours: 107

Index         Distances(Units L=1)
14           1.6795961913825073
15           1.1876538565816692
16           2.057076821404572
17           3.1422367481418685
18           2.3753077131633384
19           2.6556747570563983
20           2.057076821404572
21           2.057076821404572
22           2.3753077131633384
23           1.1876538565816694
24           2.655674757056398
25           2.057076821404572
26           1.6795961913825077
27           2.655674757056398
28           3.142236748141868
29           3.1422367481418685
30           2.3753077131633384
31           3.562961569745007
32           3.142236748141868
33           2.0570768214045723
34           2.3753077131633384
35           2.655674757056398
36           1.1876538565816692
37           1.1876538565816692
38           1.6795961913825073
39           2.057076821404572
40           2.057076821404572
41           2.6556747570563983
42           2.3753077131633384
43           3.1422367481418685
44           2.057076821404572
45           1.1876538565816694
46           2.3753077131633384
47           2.057076821404572
48           1.1876538565816692
49           2.057076821404572
50           2.3753077131633384
51           2.057076821404572
52           2.057076821404572
53           3.1422367481418685
54           2.9091459396736825
55           3.1422367481418685
56           2.057076821404572
57           2.057076821404572
58           2.9091459396736825
59           2.057076821404572
60           2.655674757056398
